component_type,component_id,slack_variable_name,slack_variable_value
gen,9,pmax_slack,0.20001
gen,1,pmax_slack,23.25563
gen,6,pmax_slack,14.43094
gen,11,pmax_slack,2.61586
gen,4,pmax_slack,2.97
branch,32,raf_s,0.04648
branch,111,raf_s,5.00725
branch,3,raf_s,0.19214
branch,231,raf_s,0.65903
branch,4,raf_s,6.32833
branch,176,raf_s,0.35168
branch,87,raf_s,0.07375
branch,17,raf_s,0.79969
branch,204,raf_s,5.13
branch,220,raf_s,3.62885
branch,192,raf_s,0.49464
branch,240,raf_s,0.04929
branch,209,raf_s,0.25381
branch,31,raf_s,0.33372
branch,193,raf_s,1.09644
branch,182,raf_s,0.97073
branch,215,raf_s,0.24541
branch,202,raf_s,0.60211
branch,11,raf_s,0.07205
branch,30,raf_s,0.33662
branch,243,raf_s,0.41634
branch,134,raf_s,2.55
branch,207,raf_s,0.11371
branch,85,raf_s,0.05853
branch,110,raf_s,0.03173
branch,211,raf_s,0.09147
branch,196,raf_s,19.62094
branch,13,raf_s,1.33042
branch,1,raf_s,1.72272
branch,225,raf_s,0.15204
branch,147,raf_s,0.29751
branch,177,raf_s,12.76586
branch,5,raf_s,25.72563
branch,186,raf_s,0.25461
branch,115,raf_s,0.23646
branch,200,raf_s,0.65999
branch,23,raf_s,0.30001
branch,213,raf_s,0.6949
branch,195,raf_s,10.82488
branch,241,raf_s,1.2698
branch,201,raf_s,1.02382
branch,82,raf_s,0.4891
branch,22,raf_s,0.15319
branch,149,raf_s,0.01052
branch,2,raf_s,0.07245
branch,31,vadf_sl,0.02392
branch,243,vadf_sl,0.01904
