component_type,component_id,slack_variable_name,slack_variable_value
gen,20,pmax_slack,1.91033
gen,100,pmax_slack,37.24902
gen,142,pmax_slack,0.85489
gen,132,pmax_slack,20.83704
gen,13,pmax_slack,6.12657
gen,40,pmax_slack,4.84242
gen,133,pmax_slack,7.36704
gen,143,pmax_slack,19.57489
branch,250,raf_s,0.47413
branch,285,raf_s,5.97622
branch,16,raf_s,8.05467
branch,336,raf_s,3.2348
branch,308,raf_s,1.40073
branch,307,raf_s,1.25232
branch,225,raf_s,0.88918
branch,53,raf_s,1.21203
branch,205,raf_s,0.5684
branch,224,raf_s,0.88918
branch,329,raf_s,0.08404
branch,14,raf_s,9.53569
branch,63,raf_s,0.02671
branch,215,raf_s,0.21503
branch,274,raf_s,18.88627
branch,316,raf_s,2.14128
branch,28,raf_s,1.47156
branch,272,raf_s,8.67151
branch,284,raf_s,4.45337
branch,285,vadf_sl,0.37886
branch,274,vadf_sl,0.03276
branch,284,vadf_sl,0.23007
