component_type,component_id,slack_variable_name,slack_variable_value
gen,12,pmax_slack,11.24715
branch,112,raf_s,1.623
branch,237,raf_s,0.52
branch,252,raf_s,0.05857
branch,178,raf_s,0.36959
branch,175,raf_s,3.12042
branch,236,raf_s,0.28001
branch,307,raf_s,12.46
branch,268,raf_s,1.9
branch,179,raf_s,0.04959
branch,186,raf_s,1.67872
branch,184,raf_s,0.71929
branch,189,raf_s,0.27721
branch,185,raf_s,1.78629
branch,112,vadf_su,0.73393
branch,175,vadf_su,0.09768
branch,307,vadf_su,0.59031
branch,186,vadf_su,0.0508
branch,184,vadf_su,0.06455
