component_type,component_id,slack_variable_name,slack_variable_value
gen,20,pmax_slack,0.00012
gen,45,pmax_slack,2.0e-5
gen,28,pmax_slack,2.0e-5
gen,5,pmax_slack,2.0e-5
gen,37,pmax_slack,2.0e-5
gen,6,pmax_slack,0.03022
gen,12,pmax_slack,2.0e-5
gen,21,pmax_slack,0.00547
gen,22,pmax_slack,0.00014
gen,11,pmax_slack,0.00474
gen,30,pmax_slack,3.0e-5
gen,14,pmax_slack,8.0e-5
gen,29,pmax_slack,0.00229
gen,40,pmax_slack,2.0e-5
gen,26,pmax_slack,2.0e-5
branch,32,raf_s,2.0e-5
branch,127,raf_s,2.0e-5
branch,104,raf_s,2.0e-5
branch,141,raf_s,0.00013
branch,97,raf_s,2.0e-5
branch,116,raf_s,0.00405
branch,37,raf_s,2.0e-5
branch,54,raf_s,2.0e-5
branch,102,raf_s,2.0e-5
branch,36,raf_s,2.0e-5
branch,67,raf_s,0.01695
branch,7,raf_s,2.0e-5
branch,21,raf_s,0.27427
branch,8,raf_s,3.0e-5
branch,66,raf_s,0.01695
branch,94,raf_s,2.0e-5
branch,38,raf_s,0.06845
branch,51,raf_s,2.0e-5
branch,93,raf_s,2.0e-5
branch,126,raf_s,2.0e-5
branch,9,raf_s,2.0e-5
branch,107,raf_s,2.0e-5
branch,95,raf_s,3.0e-5
branch,96,raf_s,0.19479
