component_type,component_id,slack_variable_name,slack_variable_value
gen,8,pmax_slack,0.00046
gen,9,pmax_slack,0.07255
gen,10,pmax_slack,0.0023
gen,1,pmax_slack,24.26338
gen,3,pmax_slack,0.26099
gen,6,pmax_slack,15.33001
gen,12,pmax_slack,0.00114
gen,2,pmax_slack,0.02999
gen,11,pmax_slack,5.70054
gen,4,pmax_slack,2.97001
gen,5,pmax_slack,0.0212
gen,7,pmax_slack,0.00031
branch,112,raf_s,0.0002
branch,43,raf_s,0.00027
branch,32,raf_s,0.0379
branch,283,raf_s,5.0e-5
branch,127,raf_s,2.0e-5
branch,80,raf_s,0.00062
branch,111,raf_s,5.45408
branch,20,raf_s,0.00067
branch,224,raf_s,0.00027
branch,269,raf_s,0.00025
branch,3,raf_s,0.59409
branch,231,raf_s,0.98079
branch,35,raf_s,0.00027
branch,253,raf_s,6.0e-5
branch,212,raf_s,0.00175
branch,267,raf_s,0.0003
branch,59,raf_s,0.00022
branch,216,raf_s,0.00018
branch,4,raf_s,6.68958
branch,197,raf_s,0.00022
branch,176,raf_s,3.75604
branch,97,raf_s,0.00022
branch,79,raf_s,0.0005
branch,188,raf_s,9.0e-5
branch,87,raf_s,0.09423
branch,181,raf_s,0.00021
branch,162,raf_s,0.00022
branch,174,raf_s,0.00016
branch,168,raf_s,0.00029
branch,103,raf_s,0.00063
branch,229,raf_s,0.0001
branch,198,raf_s,0.00788
branch,17,raf_s,1.00647
branch,276,raf_s,5.0e-5
branch,251,raf_s,4.0e-5
branch,129,raf_s,0.00017
branch,55,raf_s,0.00021
branch,81,raf_s,0.00048
branch,94,raf_s,0.00019
branch,88,raf_s,0.00063
branch,140,raf_s,0.00016
branch,282,raf_s,5.0e-5
branch,279,raf_s,4.0e-5
branch,264,raf_s,6.0e-5
branch,136,raf_s,0.00015
branch,100,raf_s,0.00018
branch,51,raf_s,0.00019
branch,58,raf_s,0.00012
branch,250,raf_s,6.0e-5
branch,260,raf_s,5.0e-5
branch,93,raf_s,0.0002
branch,142,raf_s,0.00021
branch,126,raf_s,0.00017
branch,204,raf_s,5.13001
branch,14,raf_s,0.00052
branch,154,raf_s,0.00017
branch,49,raf_s,3.0e-5
branch,9,raf_s,0.00017
branch,139,raf_s,0.00022
branch,256,raf_s,6.0e-5
branch,69,raf_s,5.0e-5
branch,72,raf_s,0.00019
branch,78,raf_s,0.00022
branch,245,raf_s,0.12145
branch,239,raf_s,0.00021
branch,222,raf_s,0.0005
branch,221,raf_s,0.00018
branch,167,raf_s,0.0005
branch,257,raf_s,4.0e-5
branch,259,raf_s,5.0e-5
branch,122,raf_s,0.00018
branch,119,raf_s,0.00018
branch,117,raf_s,0.00018
branch,237,raf_s,0.00072
branch,60,raf_s,0.00022
branch,124,raf_s,0.00017
branch,57,raf_s,0.00011
branch,220,raf_s,3.65811
branch,46,raf_s,0.00035
branch,104,raf_s,0.00064
branch,16,raf_s,0.00059
branch,120,raf_s,0.00018
branch,24,raf_s,6.0e-5
branch,160,raf_s,0.0002
branch,192,raf_s,0.60506
branch,74,raf_s,0.00017
branch,91,raf_s,0.00018
branch,63,raf_s,0.00022
branch,240,raf_s,0.00123
branch,150,raf_s,7.0e-5
branch,42,raf_s,0.23594
branch,19,raf_s,0.01018
branch,157,raf_s,2.0e-5
branch,6,raf_s,0.00061
branch,54,raf_s,6.0e-5
branch,187,raf_s,0.00018
branch,102,raf_s,0.00063
branch,263,raf_s,4.0e-5
branch,217,raf_s,0.00021
branch,135,raf_s,0.00038
branch,170,raf_s,0.00019
branch,68,raf_s,0.00018
branch,206,raf_s,0.1612
branch,209,raf_s,0.28155
branch,169,raf_s,0.00029
branch,252,raf_s,4.0e-5
branch,146,raf_s,0.00035
branch,31,raf_s,0.32302
branch,21,raf_s,0.00064
branch,247,raf_s,0.00016
branch,193,raf_s,1.22861
branch,8,raf_s,3.0e-5
branch,171,raf_s,0.00021
branch,182,raf_s,1.06759
branch,108,raf_s,8.0e-5
branch,273,raf_s,0.0001
branch,215,raf_s,0.27315
branch,202,raf_s,0.63063
branch,11,raf_s,0.10608
branch,277,raf_s,5.0e-5
branch,30,raf_s,0.35177
branch,234,raf_s,0.00027
branch,244,raf_s,5.0e-5
branch,203,raf_s,1.62549
branch,183,raf_s,0.00022
branch,27,raf_s,0.00011
branch,274,raf_s,5.0e-5
branch,249,raf_s,4.0e-5
branch,159,raf_s,0.00069
branch,132,raf_s,0.00027
branch,131,raf_s,0.00017
branch,178,raf_s,0.00025
branch,243,raf_s,0.41595
branch,270,raf_s,0.00021
branch,278,raf_s,7.0e-5
branch,155,raf_s,0.0004
branch,134,raf_s,0.38603
branch,70,raf_s,0.00019
branch,248,raf_s,5.0e-5
branch,207,raf_s,0.14223
branch,26,raf_s,0.00351
branch,175,raf_s,0.00064
branch,236,raf_s,0.00048
branch,153,raf_s,0.00035
branch,227,raf_s,0.22303
branch,106,raf_s,9.0e-5
branch,266,raf_s,0.0003
branch,52,raf_s,4.0e-5
branch,255,raf_s,4.0e-5
branch,246,raf_s,0.00049
branch,163,raf_s,0.00022
branch,281,raf_s,5.0e-5
branch,172,raf_s,0.00024
branch,73,raf_s,0.00022
branch,50,raf_s,2.0e-5
branch,121,raf_s,0.0002
branch,85,raf_s,0.05224
branch,25,raf_s,8.0e-5
branch,110,raf_s,0.12859
branch,173,raf_s,0.00024
branch,280,raf_s,0.00015
branch,41,raf_s,0.0001
branch,166,raf_s,0.00028
branch,99,raf_s,0.00019
branch,164,raf_s,0.00019
branch,44,raf_s,0.00024
branch,12,raf_s,0.03933
branch,211,raf_s,0.11
branch,75,raf_s,0.0001
branch,190,raf_s,8.0e-5
branch,137,raf_s,0.01371
branch,196,raf_s,20.52001
branch,36,raf_s,0.00035
