component_type,component_id,slack_variable_name,slack_variable_value
gen,112,pmax_slack,0.06926
gen,43,pmax_slack,0.00012
gen,32,pmax_slack,0.0008
gen,127,pmax_slack,0.00216
gen,80,pmax_slack,5.0e-5
gen,111,pmax_slack,0.00935
gen,20,pmax_slack,1.42427
gen,3,pmax_slack,0.00271
gen,35,pmax_slack,0.00235
gen,59,pmax_slack,4.0e-5
gen,4,pmax_slack,0.00109
gen,97,pmax_slack,0.0007
gen,79,pmax_slack,0.00058
gen,87,pmax_slack,0.00015
gen,103,pmax_slack,0.00257
gen,17,pmax_slack,0.00693
gen,129,pmax_slack,1.24169
gen,55,pmax_slack,0.00691
gen,81,pmax_slack,0.00015
gen,94,pmax_slack,0.00078
gen,88,pmax_slack,0.00172
gen,140,pmin_slack,0.00012
gen,140,pmax_slack,0.06221
gen,100,pmax_slack,34.29769
gen,51,pmax_slack,0.01259
gen,58,pmax_slack,8.0e-5
gen,93,pmax_slack,0.00086
gen,142,pmax_slack,2.00903
gen,126,pmax_slack,3.0e-5
gen,14,pmax_slack,0.52942
gen,49,pmax_slack,0.03542
gen,9,pmax_slack,0.00351
gen,139,pmax_slack,0.74247
gen,69,pmax_slack,0.02785
gen,72,pmax_slack,0.98247
gen,78,pmax_slack,0.00059
gen,122,pmax_slack,0.00034
gen,119,pmax_slack,0.00115
gen,117,pmax_slack,0.00196
gen,60,pmax_slack,0.00012
gen,124,pmax_slack,0.00063
gen,57,pmax_slack,0.00834
gen,46,pmax_slack,5.0e-5
gen,104,pmax_slack,0.00257
gen,16,pmax_slack,0.01975
gen,120,pmax_slack,0.0004
gen,24,pmax_slack,0.00011
gen,91,pmax_slack,0.00028
gen,63,pmax_slack,0.00174
gen,42,pmin_slack,0.00076
gen,42,pmax_slack,0.09526
gen,19,pmax_slack,0.00167
gen,6,pmax_slack,0.00049
gen,54,pmax_slack,0.00081
gen,102,pmax_slack,0.00345
gen,135,pmax_slack,0.57731
gen,68,pmax_slack,0.00429
gen,31,pmax_slack,0.00167
gen,21,pmax_slack,0.00028
gen,8,pmax_slack,0.00017
gen,108,pmax_slack,0.01441
gen,11,pmax_slack,0.09564
gen,30,pmax_slack,0.00221
gen,27,pmax_slack,0.06651
gen,132,pmax_slack,13.03647
gen,131,pmax_slack,0.0015
gen,134,pmin_slack,0.0002
gen,134,pmax_slack,0.17962
gen,70,pmax_slack,0.00292
gen,26,pmax_slack,0.41765
gen,106,pmax_slack,0.00033
gen,52,pmax_slack,0.00121
gen,73,pmax_slack,0.00687
gen,50,pmax_slack,0.03373
gen,121,pmax_slack,0.00049
gen,85,pmax_slack,0.00058
gen,25,pmax_slack,0.1326
gen,110,pmax_slack,0.00021
gen,41,pmax_slack,0.00072
gen,99,pmax_slack,0.00013
gen,12,pmax_slack,0.20093
gen,75,pmax_slack,0.00013
gen,137,pmax_slack,4.24356
gen,13,pmax_slack,3.95276
gen,67,pmax_slack,0.00219
gen,105,pmax_slack,7.0e-5
gen,7,pmax_slack,0.00926
gen,65,pmax_slack,0.00586
gen,39,pmax_slack,0.00599
gen,1,pmax_slack,0.00436
gen,77,pmax_slack,0.00023
gen,38,pmax_slack,0.45044
gen,61,pmax_slack,0.08114
gen,29,pmax_slack,0.00093
gen,33,pmax_slack,0.00057
gen,40,pmax_slack,1.45467
gen,107,pmax_slack,4.0e-5
gen,95,pmax_slack,0.00211
gen,76,pmax_slack,0.00196
gen,101,pmax_slack,0.00518
gen,118,pmax_slack,0.00015
gen,123,pmax_slack,7.0e-5
gen,10,pmax_slack,0.00124
gen,109,pmax_slack,0.77109
gen,45,pmax_slack,0.00796
gen,141,pmax_slack,0.01269
gen,18,pmax_slack,2.0e-5
gen,138,pmax_slack,1.48728
