component_type,component_id,slack_variable_name,slack_variable_value
branch,24,raf_s,2.0e-5
branch,23,raf_s,2.0e-5
branch,34,raf_s,2.0e-5
branch,19,raf_s,2.0e-5
branch,21,raf_s,2.0e-5
branch,29,raf_s,2.0e-5
branch,22,raf_s,2.0e-5
branch,36,raf_s,2.0e-5
branch,32,raf_s,2.0e-5
branch,37,raf_s,2.0e-5
branch,18,raf_s,2.0e-5
branch,33,raf_s,2.0e-5
branch,35,raf_s,2.0e-5
branch,27,raf_s,2.0e-5
branch,38,raf_s,2.0e-5
branch,26,raf_s,2.0e-5
branch,20,raf_s,2.0e-5
branch,30,raf_s,2.0e-5
branch,28,raf_s,2.0e-5
branch,25,raf_s,2.0e-5
branch,31,raf_s,2.0e-5
