component_type,component_id,slack_variable_name,slack_variable_value
gen,1,pmax_slack,4.0e-5
gen,9,pmax_slack,0.3445
gen,3,pmax_slack,0.2189
gen,2,pmax_slack,0.39428
gen,10,pmax_slack,0.53554
gen,5,pmax_slack,0.20355
gen,6,pmax_slack,0.37227
gen,7,pmax_slack,0.26534
gen,4,pmax_slack,0.3353
gen,8,pmax_slack,0.04464
branch,1,raf_s,1.3251
branch,24,raf_s,3.0e-5
branch,23,raf_s,2.0e-5
branch,39,raf_s,4.0e-5
branch,34,raf_s,4.0e-5
branch,17,raf_s,4.0e-5
branch,14,raf_s,7.0e-5
branch,19,raf_s,2.0e-5
branch,21,raf_s,2.0e-5
branch,3,raf_s,0.22464
branch,5,raf_s,4.0e-5
branch,6,raf_s,2.0e-5
branch,29,raf_s,3.0e-5
branch,44,raf_s,3.0e-5
branch,8,raf_s,3.0e-5
branch,22,raf_s,2.0e-5
branch,36,raf_s,3.0e-5
branch,43,raf_s,3.0e-5
branch,9,raf_s,2.0e-5
branch,12,raf_s,4.0e-5
branch,45,raf_s,3.0e-5
branch,46,raf_s,5.0e-5
branch,32,raf_s,4.0e-5
branch,2,raf_s,4.0e-5
branch,37,raf_s,4.0e-5
branch,7,raf_s,2.0e-5
branch,18,raf_s,3.0e-5
branch,33,raf_s,4.0e-5
branch,16,raf_s,4.0e-5
branch,40,raf_s,3.0e-5
branch,41,raf_s,4.0e-5
branch,35,raf_s,3.0e-5
branch,27,raf_s,3.0e-5
branch,15,raf_s,4.0e-5
branch,10,raf_s,5.0e-5
branch,13,raf_s,0.41676
branch,38,raf_s,3.0e-5
branch,11,raf_s,4.0e-5
branch,26,raf_s,3.0e-5
branch,20,raf_s,4.0e-5
branch,30,raf_s,3.0e-5
branch,4,raf_s,3.0e-5
branch,42,raf_s,3.0e-5
branch,28,raf_s,3.0e-5
branch,25,raf_s,3.0e-5
branch,31,raf_s,3.0e-5
