component_type,component_id,slack_variable_name,slack_variable_value
gen,43,pmin_slack,0.00067
gen,80,pmin_slack,0.0262
gen,80,pmax_slack,2.0e-5
gen,20,pmax_slack,7.0e-5
gen,3,pmin_slack,2.0e-5
gen,3,pmax_slack,0.00431
gen,35,pmax_slack,0.00131
gen,176,pmax_slack,0.00065
gen,162,pmax_slack,8.0e-5
gen,174,pmax_slack,2.0e-5
gen,168,pmin_slack,0.00146
gen,81,pmin_slack,0.0262
gen,81,pmax_slack,2.0e-5
gen,88,pmin_slack,0.00343
gen,136,pmax_slack,6.0e-5
gen,51,pmax_slack,6.0e-5
gen,58,pmin_slack,5.0e-5
gen,139,pmin_slack,8.0e-5
gen,221,pmin_slack,0.00013
gen,167,pmin_slack,0.00146
gen,220,pmin_slack,0.00013
gen,46,pmin_slack,0.00067
gen,24,pmax_slack,7.0e-5
gen,160,pmax_slack,8.0e-5
gen,192,pmax_slack,7.0e-5
gen,74,pmax_slack,4.0e-5
gen,63,pmax_slack,4.0e-5
gen,150,pmin_slack,0.00022
gen,42,pmin_slack,0.00067
gen,19,pmax_slack,7.0e-5
gen,54,pmax_slack,0.00025
gen,135,pmax_slack,6.0e-5
gen,170,pmin_slack,0.00146
gen,169,pmin_slack,0.00146
gen,146,pmax_slack,4.0e-5
gen,8,pmax_slack,6.0e-5
gen,171,pmin_slack,0.00146
gen,11,pmax_slack,0.00021
gen,30,pmin_slack,2.0e-5
gen,159,pmax_slack,3.0e-5
gen,178,pmax_slack,0.00065
gen,134,pmax_slack,6.0e-5
gen,26,pmax_slack,8.0e-5
gen,175,pmax_slack,0.00065
gen,73,pmax_slack,2.0e-5
gen,25,pmax_slack,8.0e-5
gen,173,pmax_slack,2.0e-5
gen,12,pmax_slack,0.00021
gen,75,pmax_slack,4.0e-5
gen,137,pmax_slack,6.0e-5
gen,196,pmax_slack,0.00188
gen,1,pmin_slack,8.0e-5
gen,38,pmax_slack,0.00131
gen,179,pmax_slack,0.00119
gen,180,pmax_slack,0.00119
gen,29,pmin_slack,2.0e-5
gen,147,pmin_slack,0.00022
gen,33,pmin_slack,2.0e-5
gen,33,pmax_slack,2.0e-5
gen,219,pmax_slack,4.0e-5
gen,191,pmax_slack,7.0e-5
gen,177,pmax_slack,0.00065
gen,76,pmax_slack,4.0e-5
gen,64,pmax_slack,4.0e-5
gen,158,pmax_slack,3.0e-5
gen,10,pmax_slack,0.00021
gen,109,pmax_slack,4.0e-5
gen,45,pmin_slack,0.00067
gen,141,pmax_slack,0.00022
gen,218,pmax_slack,4.0e-5
gen,138,pmax_slack,6.0e-5
gen,53,pmax_slack,0.00025
gen,37,pmax_slack,0.00131
gen,144,pmax_slack,0.00022
gen,89,pmin_slack,0.00343
gen,195,pmax_slack,0.00188
gen,83,pmin_slack,0.0262
gen,83,pmax_slack,2.0e-5
gen,184,pmax_slack,0.00224
gen,34,pmin_slack,2.0e-5
gen,34,pmax_slack,2.0e-5
gen,15,pmax_slack,0.00021
gen,161,pmax_slack,8.0e-5
gen,22,pmax_slack,7.0e-5
gen,56,pmax_slack,0.00025
gen,133,pmax_slack,6.0e-5
gen,149,pmin_slack,0.00022
gen,185,pmax_slack,0.00224
gen,143,pmax_slack,0.00022
branch,511,raf_s,2.0e-5
branch,466,raf_s,2.0e-5
branch,446,raf_s,2.0e-5
branch,157,raf_s,2.0e-5
branch,425,raf_s,3.0e-5
branch,513,raf_s,2.0e-5
branch,438,raf_s,3.0e-5
branch,487,raf_s,0.00015
branch,538,raf_s,2.0e-5
branch,380,raf_s,2.0e-5
branch,450,raf_s,2.0e-5
branch,241,raf_s,2.0e-5
branch,149,raf_s,3.0e-5
branch,296,raf_s,2.0e-5
branch,43,raf_s,0.11826
branch,718,raf_s,2.0e-5
branch,422,raf_s,2.0e-5
branch,481,raf_s,2.0e-5
branch,484,raf_s,3.0e-5
branch,719,raf_s,2.0e-5
branch,517,raf_s,2.0e-5
branch,239,raf_s,3.0e-5
branch,240,raf_s,2.0e-5
branch,525,raf_s,2.0e-5
branch,433,raf_s,2.0e-5
branch,415,raf_s,3.0e-5
branch,431,raf_s,2.0e-5
branch,638,raf_s,2.0e-5
branch,482,raf_s,2.0e-5
branch,420,raf_s,2.0e-5
branch,29,raf_s,2.0e-5
branch,297,raf_s,2.0e-5
branch,66,raf_s,0.1638
branch,570,raf_s,2.0e-5
branch,598,raf_s,3.0e-5
branch,640,raf_s,2.0e-5
branch,428,raf_s,2.0e-5
branch,539,raf_s,2.0e-5
branch,353,raf_s,2.0e-5
branch,30,raf_s,2.0e-5
branch,426,raf_s,3.0e-5
branch,485,raf_s,3.0e-5
branch,207,raf_s,2.0e-5
branch,172,raf_s,2.0e-5
branch,61,raf_s,2.0e-5
branch,637,raf_s,2.0e-5
branch,62,raf_s,2.0e-5
branch,599,raf_s,3.0e-5
branch,35,raf_s,2.0e-5
branch,506,raf_s,2.0e-5
branch,419,raf_s,2.0e-5
branch,154,raf_s,2.0e-5
branch,565,raf_s,2.0e-5
branch,434,raf_s,2.0e-5
branch,473,raf_s,0.00037
branch,502,raf_s,3.0e-5
branch,414,raf_s,2.0e-5
branch,299,raf_s,2.0e-5
branch,494,raf_s,2.0e-5
branch,447,raf_s,2.0e-5
branch,427,raf_s,3.0e-5
branch,156,raf_s,2.0e-5
branch,381,raf_s,2.0e-5
branch,501,raf_s,2.0e-5
branch,189,raf_s,2.0e-5
branch,449,raf_s,2.0e-5
