component_type,component_id,slack_variable_name,slack_variable_value
gen,112,pmin_slack,0.02717
gen,111,pmin_slack,2.0e-5
gen,87,pmax_slack,2.0e-5
gen,162,pmax_slack,2.0e-5
gen,129,pmax_slack,4.0e-5
gen,94,pmin_slack,0.00034
gen,88,pmin_slack,1.78366
gen,49,pmax_slack,2.0e-5
gen,122,pmin_slack,2.48657
gen,122,pmax_slack,0.00036
gen,119,pmin_slack,0.01142
gen,104,pmin_slack,0.0014
gen,157,pmin_slack,3.0e-5
gen,68,pmin_slack,0.00299
gen,146,pmin_slack,2.0e-5
gen,153,pmin_slack,3.0e-5
gen,44,pmax_slack,0.00032
gen,158,pmin_slack,3.0e-5
gen,165,pmin_slack,0.00027
gen,84,pmin_slack,2.0e-5
gen,89,pmin_slack,1.87709
gen,156,pmin_slack,3.0e-5
gen,83,pmin_slack,0.00065
gen,130,pmin_slack,6.0e-5
branch,476,raf_s,0.12317
branch,390,raf_s,0.39221
branch,178,raf_s,0.00014
branch,248,raf_s,0.00107
branch,358,raf_s,0.02004
branch,188,raf_s,4.0e-5
branch,475,raf_s,0.02833
branch,183,raf_s,0.0364
branch,491,raf_s,0.03587
branch,561,raf_s,3.0e-5
branch,252,raf_s,6.0e-5
branch,494,raf_s,0.02833
