component_type,component_id,slack_variable_name,slack_variable_value
gen,1,pmin_slack,2.0e-5
gen,1,pmax_slack,2.0e-5
gen,23,pmin_slack,0.00011
gen,23,pmax_slack,0.00011
gen,17,pmin_slack,2.0e-5
gen,17,pmax_slack,2.0e-5
gen,14,pmin_slack,2.0e-5
gen,14,pmax_slack,2.0e-5
gen,19,pmin_slack,2.0e-5
gen,19,pmax_slack,2.0e-5
gen,21,pmin_slack,2.0e-5
gen,21,pmax_slack,2.0e-5
gen,3,pmin_slack,2.0e-5
gen,3,pmax_slack,2.0e-5
gen,5,pmin_slack,2.0e-5
gen,5,pmax_slack,2.0e-5
gen,6,pmin_slack,2.0e-5
gen,6,pmax_slack,2.0e-5
gen,8,pmin_slack,3.0e-5
gen,8,pmax_slack,3.0e-5
gen,22,pmin_slack,2.0e-5
gen,22,pmax_slack,0.13028
gen,9,pmin_slack,3.0e-5
gen,9,pmax_slack,3.0e-5
gen,12,pmin_slack,2.0e-5
gen,12,pmax_slack,2.0e-5
gen,2,pmin_slack,2.0e-5
gen,2,pmax_slack,2.0e-5
gen,7,pmax_slack,2.0e-5
gen,18,pmin_slack,2.0e-5
gen,18,pmax_slack,2.0e-5
gen,16,pmin_slack,2.0e-5
gen,16,pmax_slack,2.0e-5
gen,15,pmin_slack,8.0e-5
gen,10,pmin_slack,2.0e-5
gen,10,pmax_slack,3.0e-5
gen,11,pmin_slack,2.0e-5
gen,11,pmax_slack,2.0e-5
gen,20,pmin_slack,2.0e-5
gen,20,pmax_slack,2.0e-5
gen,4,pmin_slack,2.0e-5
gen,4,pmax_slack,2.0e-5
branch,39,raf_s,2.0e-5
branch,21,raf_s,2.0e-5
branch,83,raf_s,3.0e-5
branch,61,raf_s,2.0e-5
branch,49,raf_s,2.0e-5
branch,29,raf_s,2.0e-5
branch,79,raf_s,0.73028
branch,43,raf_s,2.0e-5
branch,32,raf_s,2.0e-5
branch,37,raf_s,2.0e-5
branch,33,raf_s,2.0e-5
branch,84,raf_s,3.0e-5
branch,40,raf_s,2.0e-5
branch,80,raf_s,0.00011
branch,86,raf_s,3.0e-5
branch,69,raf_s,4.0e-5
branch,66,raf_s,3.0e-5
branch,60,raf_s,2.0e-5
branch,20,raf_s,2.0e-5
branch,42,raf_s,2.0e-5
branch,34,raf_s,2.0e-5
branch,55,raf_s,2.0e-5
branch,81,raf_s,4.0e-5
branch,57,raf_s,3.00001
branch,71,raf_s,2.0e-5
branch,44,raf_s,2.0e-5
branch,72,raf_s,2.0e-5
branch,54,raf_s,2.0e-5
branch,88,raf_s,3.0e-5
branch,77,raf_s,2.0e-5
branch,46,raf_s,2.0e-5
branch,78,raf_s,2.0e-5
branch,52,raf_s,2.0e-5
branch,35,raf_s,2.0e-5
branch,87,raf_s,3.0e-5
branch,38,raf_s,2.0e-5
branch,75,raf_s,2.0e-5
branch,24,raf_s,2.0e-5
branch,73,raf_s,2.0e-5
branch,82,raf_s,4.0e-5
branch,22,raf_s,2.0e-5
branch,36,raf_s,2.0e-5
branch,45,raf_s,2.0e-5
branch,50,raf_s,2.0e-5
branch,48,raf_s,2.0e-5
branch,51,raf_s,2.0e-5
branch,74,raf_s,2.0e-5
branch,58,raf_s,3.0e-5
branch,59,raf_s,2.0e-5
branch,76,raf_s,2.0e-5
branch,62,raf_s,4.0e-5
branch,85,raf_s,3.0e-5
branch,30,raf_s,2.0e-5
branch,67,raf_s,3.0e-5
branch,28,raf_s,2.0e-5
branch,25,raf_s,1.63487
branch,23,raf_s,1.63487
branch,56,raf_s,3.00001
branch,64,raf_s,4.0e-5
branch,63,raf_s,2.0e-5
branch,41,raf_s,2.0e-5
branch,65,raf_s,3.0e-5
branch,27,raf_s,2.0e-5
branch,53,raf_s,2.0e-5
branch,47,raf_s,2.0e-5
branch,26,raf_s,2.0e-5
branch,31,raf_s,2.0e-5
