component_type,component_id,slack_variable_name,slack_variable_value
gen,1,pmin_slack,5.0e-5
gen,1,pmax_slack,0.01652
gen,3,pmin_slack,1.6667
gen,3,pmax_slack,2.0e-5
gen,8,pmin_slack,0.01526
gen,8,pmax_slack,3.0e-5
gen,9,pmax_slack,8.0e-5
gen,12,pmin_slack,0.0055
gen,12,pmax_slack,2.0e-5
gen,2,pmin_slack,4.0e-5
gen,2,pmax_slack,4.0e-5
gen,7,pmin_slack,0.02181
gen,7,pmax_slack,4.0e-5
gen,10,pmin_slack,0.0055
gen,10,pmax_slack,2.0e-5
gen,11,pmin_slack,0.00678
gen,11,pmax_slack,2.0e-5
gen,4,pmin_slack,0.19629
gen,4,pmax_slack,0.00601
branch,32,raf_s,3.0e-5
branch,127,raf_s,4.0e-5
branch,80,raf_s,4.0e-5
branch,60,raf_s,5.0e-5
branch,20,raf_s,4.0e-5
branch,124,raf_s,2.0e-5
branch,3,raf_s,2.0e-5
branch,57,raf_s,4.0e-5
branch,106,raf_s,4.0e-5
branch,46,raf_s,3.0e-5
branch,52,raf_s,4.0e-5
branch,120,raf_s,2.0e-5
branch,163,raf_s,2.0e-5
branch,160,raf_s,2.0e-5
branch,172,raf_s,2.0e-5
branch,192,raf_s,2.0e-5
branch,50,raf_s,4.0e-5
branch,18,raf_s,2.0e-5
branch,121,raf_s,2.0e-5
branch,59,raf_s,4.0e-5
branch,85,raf_s,4.0e-5
branch,4,raf_s,2.0e-5
branch,5,raf_s,5.0e-5
branch,63,raf_s,4.0e-5
branch,110,raf_s,2.0e-5
branch,173,raf_s,2.0e-5
branch,197,raf_s,2.0e-5
branch,97,raf_s,5.0e-5
branch,79,raf_s,7.0e-5
branch,166,raf_s,2.0e-5
branch,84,raf_s,5.0e-5
branch,164,raf_s,2.0e-5
branch,144,raf_s,2.0e-5
branch,19,raf_s,4.0e-5
branch,6,raf_s,4.0e-5
branch,102,raf_s,2.0e-5
branch,115,raf_s,2.0e-5
branch,181,raf_s,2.0e-5
branch,75,raf_s,2.0e-5
branch,162,raf_s,2.0e-5
branch,48,raf_s,4.0e-5
branch,170,raf_s,2.0e-5
branch,68,raf_s,5.0e-5
branch,209,raf_s,2.0e-5
branch,67,raf_s,5.0e-5
branch,174,raf_s,2.0e-5
branch,156,raf_s,5.0e-5
branch,168,raf_s,2.0e-5
branch,105,raf_s,3.0e-5
branch,65,raf_s,5.0e-5
branch,195,raf_s,2.0e-5
branch,198,raf_s,2.0e-5
branch,21,raf_s,4.0e-5
branch,83,raf_s,5.0e-5
branch,8,raf_s,4.0e-5
branch,66,raf_s,0.0473
branch,171,raf_s,2.0e-5
branch,55,raf_s,5.0e-5
branch,81,raf_s,5.0e-5
branch,182,raf_s,2.0e-5
branch,94,raf_s,5.21841
branch,108,raf_s,5.0e-5
branch,161,raf_s,2.0e-5
branch,201,raf_s,2.0e-5
branch,148,raf_s,2.0e-5
branch,82,raf_s,4.0e-5
branch,22,raf_s,4.0e-5
branch,179,raf_s,2.0e-5
branch,130,raf_s,3.0e-5
branch,58,raf_s,5.0e-5
branch,202,raf_s,2.0e-5
branch,62,raf_s,5.0e-5
branch,152,raf_s,2.0e-5
branch,126,raf_s,5.0e-5
branch,204,raf_s,2.0e-5
branch,56,raf_s,5.0e-5
branch,180,raf_s,0.02042
branch,183,raf_s,5.54841
branch,47,raf_s,4.0e-5
branch,14,raf_s,0.79073
branch,61,raf_s,4.0e-5
branch,154,raf_s,4.0e-5
branch,189,raf_s,2.0e-5
branch,145,raf_s,2.0e-5
branch,107,raf_s,4.0e-5
branch,69,raf_s,5.0e-5
branch,159,raf_s,3.0e-5
branch,149,raf_s,2.0e-5
branch,72,raf_s,5.0e-5
branch,128,raf_s,4.0e-5
branch,178,raf_s,2.0e-5
branch,143,raf_s,4.0e-5
branch,208,raf_s,2.0e-5
branch,96,raf_s,0.42065
branch,2,raf_s,3.0e-5
branch,194,raf_s,2.0e-5
branch,191,raf_s,2.0e-5
branch,177,raf_s,2.0e-5
branch,70,raf_s,4.0e-5
branch,167,raf_s,2.0e-5
branch,64,raf_s,5.0e-5
branch,207,raf_s,2.0e-5
branch,175,raf_s,2.0e-5
